BAIRRO,codbairro,codbnum,regiao_adm,codra,ra,rp,cod_rp,ap,area_plane,valor médio em salários mínimos,valor mediano em salários mínimos
Paciência,148,148,SANTA CRUZ,19,XIX Santa Cruz,Santa Cruz,5.3,Área de Planejamento 5,5,1.647682347,1.558952145
Santa Cruz,149,149,SANTA CRUZ,19,XIX Santa Cruz,Santa Cruz,5.3,Área de Planejamento 5,5,1.63377171,1.475231023
Sepetiba,150,150,SANTA CRUZ,19,XIX Santa Cruz,Santa Cruz,5.3,Área de Planejamento 5,5,1.757972753,1.540288779
Guaratiba,151,151,GUARATIBA,26,XXVI Guaratiba,Guaratiba,5.4,Área de Planejamento 5,5,1.693505397,1.509434818
Barra de Guaratiba,152,152,GUARATIBA,26,XXVI Guaratiba,Guaratiba,5.4,Área de Planejamento 5,5,2.352195354,2.32900165
Pedra de Guaratiba,153,153,GUARATIBA,26,XXVI Guaratiba,Guaratiba,5.4,Área de Planejamento 5,5,2.559478206,2.20539604
Rocinha,154,154,ROCINHA,27,XXVII Rocinha,Zona Sul,2.1,Área de Planejamento 2,2,1.616452145,1.296468647
Jacarezinho,155,155,JACAREZINHO,28,XXVIII Jacarezinho,Méier,3.2,Área de Planejamento 3,3,1.331817732,1.31099835
Complexo do Alemão,156,156,COMPLEXO DO ALEMÃO,29,XXIX Complexo do Alemão,Inhaúma,3.4,Área de Planejamento 3,3,1.187275295,1.140165017
Maré,157,157,COMPLEXO DA MARE,30,XXX Maré,Ramos,3.1,Área de Planejamento 3,3,1.297388511,1.254071782
Vasco da Gama,158,158,SAO CRISTOVAO,7,VII São Cristóvão,Centro,1.1,Área de Planejamento 1,1,2.232308539,1.905470297
Parque Colúmbia,159,159,PAVUNA,25,XXV Pavuna,Pavuna,3.6,Área de Planejamento 3,3,1.565139026,1.456868812
Gericinó,160,160,BANGU,17,XVII Bangu,Bangu,5.1,Área de Planejamento 5,5,1.447586634,1.372091584
Lapa,161,161,CENTRO,2,II Centro,Centro,1.1,Área de Planejamento 1,1,4.25405587,3.520878713
Vila Kennedy,162,162,BANGU,17,XVII Bangu,Bangu,5.1,Área de Planejamento 5,5,1.39273335,1.364183168
Jabour,163,163,BANGU,17,XVII Bangu,Bangu,5.1,Área de Planejamento 5,5,3.306223597,3.167409241
Ilha de Guaratiba,164,164,GUARATIBA,26,XXVI Guaratiba,Guaratiba,5.4,Área de Planejamento 5,5,2.720898751,2.720486799
Barra Olímpica,165,165,JACAREPAGUA,16,XVI Jacarepaguá,Jacarepaguá,4.1,Área de Planejamento 4,4,8.50695668,8.447557756
Argentino,166,166,PENHA,11,XI Penha,Penha,3.5,Área de Planejamento 3,3,5.126889439,5.126889439
