BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,MAGNITUDE,INDICE_INFORMALIDADE,RENDA MENSAL,TAXA DE ESFORÇO,LATITUDE,LONGITUDE,RISCO_TARGET,RISCO ALTO
Lins de Vasconcelos,29.522222222222226,9058,1.035,498043,1.419,0.0,4191.57,0.35,-22.9140512,-43.2843528,0,0.0
Parada de Lucas,28.072222222222223,5906,1.052,115747,1.168,0.29350361202189323,2342.36,0.6,-22.8167023,-43.3012102,0,0.0
Encantado,28.127777777777776,4667,1.067,35902,1.063,0.04137196944271158,3644.5,0.39,-22.8974743,-43.3042461,0,0.0
Olaria,30.2,15376,1.019,352640,1.335,0.30821498051561175,4174.29,0.36,-22.8484866,-43.2706124,0,0.0
Osvaldo Cruz,26.98611111111111,8344,1.034,144150,1.191,0.0,3650.91,0.37,-22.8705266,-43.350194,0,0.0
Irajá,31.08333333333333,26601,1.01,800951,1.536,0.05763569102605947,4042.14,0.38,-22.8351129,-43.3233619,0,0.0
Tanque,28.325,5942,1.052,1155738,1.689,0.22186054949912146,3686.06,0.38,-22.9151927,-43.3557471,0,0.0
Brás de Pina,21.06111111111111,13117,1.015,402500,1.361,0.25129792710958804,2742.46,0.38,-22.831888,-43.2977309,0,0.0
Maria da Graça,32.1,2777,1.132,12964,1.013,0.0,4083.68,0.39,-22.8830403,-43.2638849,0,0.0
Riachuelo,36.833333333333336,5127,1.08,179589,1.235,0.0,4620.93,0.4,-22.9026953,-43.255175,0,0.0
