objectid,cod_favela,nome,situacao,cod_comple,complexo,data_cadas,cod_bairro,bairro,cod_ra,ra,cod_rp,rp,cod_ap,pop_sabren,dom_sabren,fonte,upp,cod_bair_1,area,shape_Length,shape_Area
245,834,Caminho do Céu,2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,33,39,IPP com base em IBGE - Censo Demográfico 2022,,144,9682.79497645,1230.20114672356,9682.79497653701
246,833,Jardim Monteiro,1,2125,Jardim Monteiro,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,563,227,IPP com base em IBGE - Censo Demográfico 2022,,144,50795.80193512,1810.51857810168,50795.8019350117
247,818,Vila Aliança (loteamento Rua do Lúcio),1,2118,Fazenda Coqueiro,2009/01/15 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,475,176,IPP com base em IBGE - Censo Demográfico 2022,,141,22410.29390815,944.073391962678,22410.2939081222
248,817,Sem Terra,2,0,Isolada,2009/01/15 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,237,99,IPP com base em IBGE - Censo Demográfico 2022,,141,9391.98571084,419.591559973836,9391.98571088788
249,832,Morro Luiz Barata,2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,117,51,IPP com base em IBGE - Censo Demográfico 2022,,144,7397.2861807,638.361618009397,7397.28618075191
250,831,Rio - São Paulo (altura do nº 3.239),2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,1238,463,IPP com base em IBGE - Censo Demográfico 2022,,144,54160.22737556,1404.86558454513,54160.2273755379
251,789,"Rua Marquês de Muritiba, nº 609",1,2063,Conjunto Residencial dos Servidores,2003/02/10 00:00:00+00,96,Cocotá,20,Ilha do Governador,3.7,Ilha do Governador,3,32,15,IPP com base em IBGE - Censo Demográfico 2022,,096,3354.74475603,232.245732189505,3354.74475597365
252,829,Beco da Esperança,2,0,Isolada,2009/01/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,174,64,IPP com base em IBGE - Censo Demográfico 2022,,144,8571.40571787,749.666188640102,8571.40571783002
253,828,Comunidade Solar da Montanha de Jacarepaguá,2,0,Isolada,2009/01/15 00:00:00+00,129,Camorim,24,Barra da Tijuca,4.2,Barra da Tijuca,4,265,130,IPP com base em IBGE - Censo Demográfico 2022,,129,5956.99501129,371.360238469682,5956.99501129486
254,826,"Estrada do Quitungo, nº 1.267",1,2030,Morro da Guaíba,2009/01/15 00:00:00+00,45,Brás de Pina,11,Penha,3.5,Penha,3,84,27,IPP com base em IBGE - Censo Demográfico 2022,,045,3543.99806725,548.061549715827,3543.99806723139
255,825,Morro da Saudade,1,2016,Mangueira (RA - Botafogo),2009/01/15 00:00:00+00,20,Botafogo,4,Botafogo,2.1,Zona Sul,2,45,28,IPP com base em IBGE - Censo Demográfico 2022,,020,2460.28570468,401.851837142323,2460.28570470201
256,824,Rua da Proclamação (altura do nº 809),2,0,Isolada,2009/01/15 00:00:00+00,40,Bonsucesso,10,Ramos,3.1,Ramos,3,13,7,IPP com base em IBGE - Censo Demográfico 2022,,040,1084.89245281,152.422139363443,1084.89245282181
257,822,Marco,2,0,Isolada,2009/01/15 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,144,49,IPP com base em IBGE - Censo Demográfico 2022,,141,3925.67536389,372.012186079634,3925.67536385992
258,821,Vila Aliança,1,2118,Fazenda Coqueiro,2009/01/15 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,373,168,IPP com base em IBGE - Censo Demográfico 2022,,141,15401.36968864,547.168302471948,15401.3696886492
259,820,Vila Aliança (Av. do Corretor),2,0,Isolada,2009/01/15 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,236,107,IPP com base em IBGE - Censo Demográfico 2022,,141,11621.57915404,847.709305944216,11621.579154119
260,813,Parque das Mangueiras,2,0,Isolada,2009/01/15 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,203,69,IPP com base em IBGE - Censo Demográfico 2022,,141,12508.10203012,1054.21372291446,12508.1020300565
261,812,Rua Humberto Teixeira,2,0,Isolada,2009/01/15 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,286,107,IPP com base em IBGE - Censo Demográfico 2022,,141,15714.33194255,1158.87187064941,15714.3319425702
262,811,Favela do Quiabo,2,0,Isolada,2009/01/15 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,122,53,IPP com base em IBGE - Censo Demográfico 2022,,141,11691.10789139,911.519963958246,11691.107891435
263,810,Castor de Andrade II,1,2116,Alto Kennedy,2009/01/15 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,466,199,IPP com base em IBGE - Censo Demográfico 2022,,141,21602.46133408,935.221346696534,21602.4613341439
264,809,"Rua Aldo Rangel, nº 198",2,0,Isolada,2009/01/15 00:00:00+00,116,Anil,16,Jacarepaguá,4.1,Jacarepaguá,4,7,3,IPP com base em IBGE - Censo Demográfico 2022,,116,3154.8537417,223.451988579477,3154.85374164129
265,808,"Estrada Curipós, nº 310",2,0,Isolada,2009/01/15 00:00:00+00,116,Anil,16,Jacarepaguá,4.1,Jacarepaguá,4,448,158,IPP com base em IBGE - Censo Demográfico 2022,,116,19635.36864216,1462.01375066785,19635.3686421591
266,807,Rua Adalberto Tanajura (altura do nº 152),2,0,Isolada,2009/01/15 00:00:00+00,107,Anchieta,22,Anchieta,3.6,Pavuna,3,152,57,IPP com base em IBGE - Censo Demográfico 2022,,107,3861.16363345,297.031347795444,3861.16363347886
267,742,Cantinho do Rio,1,2033,Dourados,2003/01/28 00:00:00+00,46,Cordovil,31,Vigário Geral,3.5,Penha,3,100,40,IPP com base em IBGE - Censo Demográfico 2022,,046,2257.82089746,197.426522984511,2257.82089745039
268,806,Estrada do Soberbo (altura do nº 176),2,0,Isolada,2009/01/15 00:00:00+00,34,Alto da Boa Vista,8,Tijuca,2.2,Tijuca,2,30,15,IPP com base em IBGE - Censo Demográfico 2022,,034,5885.73237519,446.494669928437,5885.73237522699
269,805,Rua Rodrigo da Silva (altura do nº 91),2,0,Isolada,2009/01/15 00:00:00+00,34,Alto da Boa Vista,8,Tijuca,2.2,Tijuca,2,4,2,IPP com base em IBGE - Censo Demográfico 2022,,034,1964.51126204,208.133969741755,1964.51126205092
270,804,Rua Rodrigo da Silva (altura do nº 910 - Caminho Santo André),2,0,Isolada,2009/01/15 00:00:00+00,34,Alto da Boa Vista,8,Tijuca,2.2,Tijuca,2,33,18,IPP com base em IBGE - Censo Demográfico 2022,,034,20936.34677867,1104.27594247096,20936.3467786674
271,788,"Rua Jerônimo Ornelas, nº 490",1,2061,Bairro Nossa Senhora das Graças,2003/02/10 00:00:00+00,93,Cacuia,20,Ilha do Governador,3.7,Ilha do Governador,3,57,24,IPP com base em IBGE - Censo Demográfico 2022,,093,1800.57452009,201.524798353326,1800.57452010969
272,803,Estrada do Soberbo (altura do nº 267),2,0,Isolada,2009/01/15 00:00:00+00,34,Alto da Boa Vista,8,Tijuca,2.2,Tijuca,2,37,12,IPP com base em IBGE - Censo Demográfico 2022,,034,6927.66981575,598.997242446692,6927.66981575545
273,802,"Rua Torres de Oliveira, nº 467",1,2042,Engenheiro Alfredo Gonçalves,2009/01/15 00:00:00+00,67,Água Santa,13,Méier,3.2,Méier,3,67,45,IPP com base em IBGE - Censo Demográfico 2022,,067,5838.74491651,389.437315167207,5838.74491650518
274,801,A.M. Novo Rio de Jacarepaguá,1,2091,Canal do Anil,2004/01/01 00:00:00+00,117,Gardênia Azul,16,Jacarepaguá,4.1,Jacarepaguá,4,2049,829,IPP com base em IBGE - Censo Demográfico 2022,,117,42048.0018267,903.601909144084,42048.0018267167
